SESSO,FASCIA,SCOPO,ENOJY,CAR2GO,TOTAL
weekdays,['1'],['3'],['10'],1.95968570478,1.95988450938,1.95979893237
weekdays,['1'],['3'],['8'],0.956107833058,0.937253886997,0.930582460774
weekdays,['1'],['2'],['1'],0.882056202529,0.913498936495,0.889691614999
weekdays,['1'],['2'],['4'],1.20996304808,1.20504364702,1.201410803
weekdays,['1'],['2'],['5'],1.33175603388,1.3309274917,1.32166260025
weekdays,['1'],['2'],['2'],1.39003601299,1.34007598211,1.35905401902
weekdays,['1'],['2'],['7'],1.08696709282,1.05531916084,1.06096892248
weekdays,['1'],['2'],['3'],1.3943873403,1.43701953846,1.41802157078
weekdays,['1'],['2'],['9'],1.61416354349,1.58811599763,1.59156752796
weekdays,['1'],['2'],['11'],1.62665886648,1.59512164637,1.60869709139
weekdays,['1'],['2'],['6'],1.7262505969,1.66393876331,1.68579134562
weekdays,['1'],['2'],['10'],1.9603223986,1.92528107091,1.94036488667
weekdays,['1'],['2'],['8'],0.814565846562,0.821764611674,0.803906122422
weekdays,['2'],['1'],['1'],1.95268207273,1.96681832101,1.96073326149
weekdays,['2'],['1'],['4'],1.69224535865,1.6502747467,1.66583326315
weekdays,['2'],['1'],['5'],1.95366605409,1.96716829258,1.96135614757
weekdays,['2'],['1'],['2'],1.96596582112,1.96491535063,1.96536753393
weekdays,['2'],['1'],['7'],1.51309786738,1.44976422826,1.47519340805
weekdays,['2'],['1'],['3'],1.30618068012,1.29422337696,1.28879747509
weekdays,['2'],['1'],['9'],1.83023427439,1.78172710967,1.80260740113
weekdays,['2'],['1'],['11'],1.95653117629,1.94433264797,1.94958360066
weekdays,['2'],['1'],['6'],1.97213017495,1.98088280327,1.97711516541
weekdays,['2'],['1'],['10'],1.99716381843,1.99811890284,1.99770777922
weekdays,['2'],['1'],['8'],1.17675537293,1.18316005533,1.17387371641
weekdays,['2'],['4'],['1'],1.93300244548,1.88899339429,1.90793743732
weekdays,['2'],['4'],['4'],1.24513321726,1.2148884698,1.21744989572
weekdays,['2'],['4'],['5'],1.6501656851,1.64277783896,1.6454285424
weekdays,['2'],['4'],['2'],1.93508617072,1.92668095717,1.93029904761
weekdays,['2'],['4'],['7'],1.42284819729,1.3523510474,1.38115492769
weekdays,['2'],['4'],['3'],1.93824069921,1.92952447614,1.93327644307
weekdays,['2'],['4'],['9'],1.52033194901,1.54020123365,1.53040967218
weekdays,['2'],['4'],['11'],1.99768474974,1.99895008531,1.99840541163
weekdays,['2'],['4'],['6'],1.54832361411,1.55653428428,1.55170553911
weekdays,['2'],['4'],['10'],1.95103245691,1.94015486242,1.94483720872
weekdays,['2'],['4'],['8'],1.09468419439,1.06899723129,1.06668611925
weekdays,['2'],['3'],['1'],1.14775326466,1.18924320218,1.16603003656
weekdays,['2'],['3'],['4'],1.1764937757,1.16176888753,1.15806290438
weekdays,['2'],['3'],['5'],1.63512956069,1.62974498358,1.63154518989
weekdays,['2'],['3'],['2'],1.7398526922,1.67416447817,1.69954467028
weekdays,['2'],['3'],['7'],1.39197898626,1.36082606198,1.37191118706
weekdays,['2'],['3'],['9'],1.62601941835,1.60252349215,1.61263749881
weekdays,['2'],['3'],['11'],1.95826761399,1.94492322499,1.95066742244
weekdays,['2'],['3'],['6'],1.53488981969,1.53810046203,1.53520509003
weekdays,['2'],['3'],['10'],1.99777157162,1.99905945142,1.99850507341
weekdays,['2'],['3'],['8'],0.977434998398,0.979335528065,0.966754175736
weekdays,['2'],['2'],['1'],0.899539180078,0.884395488455,0.871035115752
weekdays,['2'],['2'],['4'],1.17522531321,1.14336323014,1.15310893713
weekdays,['2'],['2'],['5'],1.26729045844,1.24752978794,1.24684069349
weekdays,['2'],['2'],['2'],1.55434326479,1.45996991911,1.49331954679
weekdays,['2'],['2'],['7'],1.22309033667,1.17856967682,1.19509662999
weekdays,['2'],['2'],['3'],1.63366069762,1.55661309086,1.5897788406
weekdays,['2'],['2'],['9'],1.53099094866,1.5322336842,1.5282955279
weekdays,['2'],['2'],['11'],1.8042745308,1.73909619843,1.76715272544
weekdays,['2'],['2'],['6'],1.46649674383,1.4603303065,1.45765709409
weekdays,['2'],['2'],['10'],1.97618186291,1.9840762938,1.98067807379
weekdays,['2'],['2'],['8'],0.889665588872,0.878831345421,0.862391623863
afternoon,['1'],['1'],['1'],1.93665569304,1.91566018424,1.9244582927
afternoon,['1'],['1'],['4'],1.8072425928,1.7771136131,1.78973907666
afternoon,['1'],['1'],['5'],1.98887501419,1.99238485159,1.99091406417
afternoon,['1'],['1'],['2'],1.97763650812,1.97846468782,1.97811764146
afternoon,['1'],['1'],['7'],1.45882028598,1.44603803446,1.44535296696
afternoon,['1'],['1'],['3'],1.36900984616,1.38519698932,1.37646395436
afternoon,['1'],['1'],['9'],1.87910091951,1.88151484135,1.88050329425
afternoon,['1'],['1'],['11'],1.89987512771,1.87250767656,1.88397592941
afternoon,['1'],['1'],['6'],1.98910205472,1.99279426817,1.99124705658
afternoon,['1'],['1'],['10'],1.98422068339,1.98665301945,1.98563375592
afternoon,['1'],['1'],['8'],1.12974066775,1.14282004168,1.12724150174
afternoon,['1'],['4'],['1'],1.93858553752,1.89011258956,1.91042504103
afternoon,['1'],['4'],['4'],1.20673234909,1.17568252883,1.18474367885
afternoon,['1'],['4'],['5'],1.74333068453,1.69637666325,1.7160526128
afternoon,['1'],['4'],['2'],1.87149506187,1.83164790174,1.84834574126
afternoon,['1'],['4'],['7'],1.34476554065,1.28527443987,1.3046862762
afternoon,['1'],['4'],['3'],1.98569644682,1.97993858751,1.98235140214
afternoon,['1'],['4'],['9'],1.63752979907,1.64241555783,1.64036819447
afternoon,['1'],['4'],['11'],1.99500510841,1.9924667349,1.99353043313
afternoon,['1'],['4'],['6'],1.64645902307,1.6242711123,1.63356889343
afternoon,['1'],['4'],['10'],1.96208423204,1.94562947799,1.95252479604
afternoon,['1'],['4'],['8'],1.06078780769,1.03219296341,1.026903012
afternoon,['1'],['3'],['1'],1.29091426005,1.25196076122,1.2583057085
afternoon,['1'],['3'],['4'],1.16304895512,1.15173074276,1.14749310543
afternoon,['1'],['3'],['5'],1.56169826314,1.57855112021,1.56687861898
afternoon,['1'],['3'],['2'],1.62458848905,1.60355463328,1.61182924592
afternoon,['1'],['3'],['7'],1.36894023561,1.30164672718,1.32615774976
afternoon,['1'],['3'],['3'],1.99704847315,1.99459570113,1.99562352829
afternoon,['1'],['3'],['9'],1.70223634919,1.65895598772,1.67709250054
afternoon,['1'],['3'],['11'],1.98081507549,1.97723643808,1.97873605594
afternoon,['1'],['3'],['6'],1.70927460552,1.71791197544,1.71429251005
afternoon,['1'],['3'],['10'],1.95833806334,1.95414534289,1.95590229051
afternoon,['1'],['3'],['8'],0.936594859216,0.890365193714,0.894839380097
afternoon,['1'],['2'],['1'],0.941760343275,0.93290582813,0.922695515876
afternoon,['1'],['2'],['4'],1.20989566456,1.20908904811,1.20527114015
afternoon,['1'],['2'],['5'],1.32603185362,1.34492271141,1.32802374212
afternoon,['1'],['2'],['2'],1.42912433307,1.38512986182,1.39810357848
afternoon,['1'],['2'],['7'],1.12543461101,1.09509676037,1.0998189008
afternoon,['1'],['2'],['3'],1.43063701686,1.45571249858,1.44044307371
afternoon,['1'],['2'],['9'],1.64161652855,1.59508700102,1.61458506767
afternoon,['1'],['2'],['11'],1.63287546827,1.58346541892,1.6011410087
afternoon,['1'],['2'],['6'],1.74662277216,1.69584052249,1.7142449397
afternoon,['1'],['2'],['10'],1.97218753548,1.9521801433,1.96056418429
afternoon,['1'],['2'],['8'],0.801530036392,0.769340460957,0.764512412265
afternoon,['2'],['1'],['1'],1.94891588148,1.96560900716,1.95861380016
afternoon,['2'],['1'],['4'],1.72039959133,1.66870010235,1.69036462669
afternoon,['2'],['1'],['5'],1.94278578726,1.96053224156,1.95309564018
afternoon,['2'],['1'],['2'],1.97218753548,1.97150460594,1.97179078562
afternoon,['2'],['1'],['7'],1.52940104747,1.49162389274,1.50745430237
afternoon,['2'],['1'],['3'],1.31606879328,1.29972186374,1.30100549231
afternoon,['2'],['1'],['9'],1.85764558974,1.81363357216,1.8320766834
afternoon,['2'],['1'],['11'],1.94925644227,1.9411258956,1.94453297814
afternoon,['2'],['1'],['6'],1.96810080599,1.97477993859,1.971981067
afternoon,['2'],['1'],['10'],1.9965943921,1.99762538383,1.99719334967
afternoon,['2'],['1'],['8'],1.16014128321,1.13421389956,1.13669242755
afternoon,['2'],['4'],['1'],1.94698603701,1.91336745138,1.92745522441
afternoon,['2'],['4'],['4'],1.25331027999,1.22227196209,1.22707102854
afternoon,['2'],['4'],['5'],1.6662504257,1.6410955423,1.6462669172
afternoon,['2'],['4'],['2'],1.94800771938,1.93261003071,1.93906238851
afternoon,['2'],['4'],['7'],1.46843926456,1.39989537132,1.42667515885
afternoon,['2'],['4'],['3'],1.94153706437,1.93572159672,1.93815855196
afternoon,['2'],['4'],['9'],1.51609490294,1.53541453429,1.52575743881
afternoon,['2'],['4'],['11'],1.99716199342,1.99819856704,1.9977641938
afternoon,['2'],['4'],['6'],1.57134748553,1.5631005602,1.56444234385
afternoon,['2'],['4'],['10'],1.95924622545,1.94153531218,1.94895702019
afternoon,['2'],['4'],['8'],1.08962548894,1.04053681157,1.0500047803
afternoon,['2'],['3'],['1'],1.16370436067,1.20516321612,1.17881360887
afternoon,['2'],['3'],['4'],1.19008866743,1.16504843544,1.16786714537
afternoon,['2'],['3'],['5'],1.64717902146,1.61269428745,1.62389368786
afternoon,['2'],['3'],['2'],1.76830514247,1.70284544524,1.73027614585
afternoon,['2'],['3'],['7'],1.41034969824,1.37799553669,1.38778448138
afternoon,['2'],['3'],['9'],1.62231808378,1.60024449666,1.60663345006
afternoon,['2'],['3'],['11'],1.96571688046,1.94440122825,1.9533334919
afternoon,['2'],['3'],['6'],1.55738449313,1.53221951027,1.53881429086
afternoon,['2'],['3'],['10'],1.99727551368,1.99844421699,1.99795447518
afternoon,['2'],['3'],['8'],0.955034019718,0.923986010489,0.92421891728
afternoon,['2'],['2'],['1'],0.948951673756,0.92958516467,0.923567607953
